"","gene","genus","bcv.prob","stab.prob","refitted.coef","GeneName","moduleColor"
"31","ENSMUSG00000004151","Alistipes",0.74,0.88,-0.174879959773316,"ets variant 1","turquoise"
"32","ENSMUSG00000004151","Anaerotruncus",0.71,0.91,0.108303721011301,"ets variant 1","turquoise"
"33","ENSMUSG00000004709","Anaerotruncus",0.95,0.92,-0.13877937497446,"CD244 molecule A","brown"
"34","ENSMUSG00000004933","Anaerotruncus",0.81,0.94,-0.0827964267312352,"megakaryocyte-associated tyrosine kinase","turquoise"
"35","ENSMUSG00000004951","f.Rikenellaceae",0.71,0.77,0.0815083925109442,"heat shock protein 1","turquoise"
"36","ENSMUSG00000004952","Butyricimonas",0.9,0.9,-0.195275251521933,"RAS p21 protein activator 4","turquoise"
"37","ENSMUSG00000004952","f.Rikenellaceae",0.75,0.79,-0.053108763704173,"RAS p21 protein activator 4","turquoise"
"38","ENSMUSG00000005124","Butyricimonas",0.74,0.91,-0.125022871924327,"cellular communication network factor 4","turquoise"
"39","ENSMUSG00000005124","Escherichia",0.75,0.9,0.116029566660693,"cellular communication network factor 4","turquoise"
"40","ENSMUSG00000005124","[Eubacterium]",0.72,0.84,0.0817749026648743,"cellular communication network factor 4","turquoise"
"41","ENSMUSG00000005540","Butyricimonas",0.75,0.93,-0.124613433841403,"Fc receptor, IgE, low affinity II, alpha polypeptide","blue"
"42","ENSMUSG00000005628","f.Rikenellaceae",0.85,0.93,-0.144971236335779,"tropomodulin 4","blue"
"43","ENSMUSG00000005628","f.Lachnospiraceae",0.81,0.91,0.298491911523397,"tropomodulin 4","blue"
"44","ENSMUSG00000005677","Parabacteroides",0.7,0.77,-0.158000839188229,"nuclear receptor subfamily 1, group I, member 3","blue"
"45","ENSMUSG00000005824","Anaerotruncus",0.74,0.97,-0.0851574252641251,"tumor necrosis factor (ligand) superfamily, member 14","brown"
"46","ENSMUSG00000006411","Alistipes",0.79,0.88,0.167393647703273,"nectin cell adhesion molecule 4","turquoise"
"47","ENSMUSG00000006411","f.Erysipelotrichaceae",0.79,0.9,0.0857815337497118,"nectin cell adhesion molecule 4","turquoise"
"48","ENSMUSG00000006517","Anaerotruncus",0.93,1,-0.149562374700732,"mevalonate (diphospho) decarboxylase","turquoise"
"49","ENSMUSG00000006542","Anaerotruncus",0.73,0.99,-0.0685767361269822,"protein kinase, AMP-activated, gamma 3 non-catalytic subunit","blue"
"50","ENSMUSG00000006651","Dorea",0.74,0.79,-0.121061861016925,"amyloid beta (A4) precursor-like protein 1","blue"
"51","ENSMUSG00000006800","Anaerotruncus",0.85,0.97,0.117921292048336,"sulfatase 2","yellow"
"52","ENSMUSG00000007892","Alistipes",0.79,0.94,0.159628898511221,"ribosomal protein, large, P1","turquoise"
"53","ENSMUSG00000008035","f.Rikenellaceae",0.71,0.83,0.0525661667820613,"Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))","greenyellow"
"54","ENSMUSG00000008035","Anaerotruncus",0.86,0.98,-0.112891390652865,"Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))","greenyellow"
"55","ENSMUSG00000009013","Anaerotruncus",0.71,0.96,-0.0744662334526111,"dynein light chain LC8-type 1","brown"
"56","ENSMUSG00000009035","[Eubacterium]",0.72,0.85,-0.0416112421729196,"transmembrane protein 184b","turquoise"
"57","ENSMUSG00000010607","Alistipes",0.75,0.9,0.133966447178053,"phosphatidylinositol glycan anchor biosynthesis, class Y-like","turquoise"
"58","ENSMUSG00000011096","Alistipes",0.79,0.92,0.130521383210075,"AKT1 substrate 1 (proline-rich)","turquoise"
"59","ENSMUSG00000012428","Butyricimonas",0.75,0.76,0.157086340364548,"STEAP family member 4","blue"
"60","ENSMUSG00000012428","[Eubacterium]",0.79,0.83,0.106332586727358,"STEAP family member 4","blue"
"61","ENSMUSG00000012428","Anaerotruncus",0.82,0.95,-0.13452762763933,"STEAP family member 4","blue"
"62","ENSMUSG00000012428","Blautia",0.74,0.91,0.161284615381874,"STEAP family member 4","blue"
"63","ENSMUSG00000014453","Butyricimonas",0.81,0.88,-0.134059145326604,"B lymphoid kinase","turquoise"
"64","ENSMUSG00000014786","[Eubacterium]",0.78,0.83,0.0778115592886836,"solute carrier family 9 (sodium/hydrogen exchanger), member 5","brown"
"65","ENSMUSG00000014846","Escherichia",0.74,0.91,-0.0892060961822654,"tubulin polymerization-promoting protein family member 3","turquoise"
"66","ENSMUSG00000014846","rc4-4",0.76,0.78,0.0668254022823222,"tubulin polymerization-promoting protein family member 3","turquoise"
"67","ENSMUSG00000015314","Butyricimonas",0.75,0.85,-0.128446127218988,"SLAM family member 6","green"
"68","ENSMUSG00000015478","[Eubacterium]",0.73,0.84,-0.0434613273866482,"ring finger protein 5","turquoise"
"69","ENSMUSG00000015850","Butyricimonas",0.77,0.88,-0.140903927090263,"ADAMTS-like 4","turquoise"
"70","ENSMUSG00000016262","Anaerotruncus",0.73,0.87,0.0800740162849493,"SERTA domain containing 4","brown"
"71","ENSMUSG00000016624","Lactococcus",0.71,0.92,-0.276734408679291,"PHD finger protein 21B","brown"
"72","ENSMUSG00000017405","Anaerofustis",0.76,0.93,0.14205497303621,"NIMA (never in mitosis gene a)-related expressed kinase 8","turquoise"
"73","ENSMUSG00000017716","f.Rikenellaceae",0.74,0.75,-0.0667249909439142,"baculoviral IAP repeat-containing 5","blue"
"74","ENSMUSG00000017716","Anaerotruncus",0.83,0.98,0.084034691335663,"baculoviral IAP repeat-containing 5","blue"
"75","ENSMUSG00000017754","Dorea",0.7,0.75,0.0743055983627151,"phospholipid transfer protein","brown"
"76","ENSMUSG00000017861","f.Christensenellaceae",0.73,0.89,0.106502711779756,"myeloblastosis oncogene-like 2","blue"
"77","ENSMUSG00000018507","Dorea",0.73,0.76,0.0787426308494317,"transient receptor potential cation channel, subfamily V, member 2","green"
"78","ENSMUSG00000018924","Anaerotruncus",0.76,0.91,-0.0864396205382654,"arachidonate 15-lipoxygenase","purple"
"79","ENSMUSG00000019232","f.Rikenellaceae",0.74,0.84,-0.0901431635027318,"ethanolamine phosphate phospholyase","blue"
"80","ENSMUSG00000019232","f.Christensenellaceae",0.74,0.96,0.164949090105981,"ethanolamine phosphate phospholyase","blue"
"81","ENSMUSG00000019232","Anaerotruncus",0.76,0.97,0.113768380651711,"ethanolamine phosphate phospholyase","blue"
"82","ENSMUSG00000019428","Alistipes",0.7,0.9,0.13836794278124,"FK506 binding protein 8","turquoise"
"83","ENSMUSG00000019856","Dorea",0.7,0.81,-0.0983540061590685,"family with sequence similarity 184, member A","brown"
"84","ENSMUSG00000019876","Anaerofustis",0.73,0.94,-0.129601147574999,"protein kinase inhibitor beta, cAMP dependent, testis specific","green"
"85","ENSMUSG00000019960","f.Rikenellaceae",0.78,0.96,0.0589147673531751,"dual specificity phosphatase 6","greenyellow"
"86","ENSMUSG00000019960","Anaerotruncus",0.8,0.91,-0.0797496226035184,"dual specificity phosphatase 6","greenyellow"
"87","ENSMUSG00000020000","f.Christensenellaceae",0.78,0.89,-0.0798085020174807,"monooxygenase, DBH-like 1","brown"
"88","ENSMUSG00000020000","Anaerotruncus",0.7,0.89,0.0343738233642633,"monooxygenase, DBH-like 1","brown"
"89","ENSMUSG00000020083","Lactococcus",0.76,0.91,0.237122969789215,"family with sequence similarity 241, member B","yellow"
"90","ENSMUSG00000020140","Alistipes",0.71,0.94,-0.163065497073905,"leucine rich repeat containing G protein coupled receptor 5","magenta"
"91","ENSMUSG00000020153","Alistipes",0.74,0.88,0.150273852841581,"NADH:ubiquinone oxidoreductase core subunit S7","turquoise"
"92","ENSMUSG00000020163","Alistipes",0.74,0.9,0.142441488799932,"ubiquinol-cytochrome c reductase, complex III subunit XI","turquoise"
"93","ENSMUSG00000020173","f.Christensenellaceae",0.78,0.93,-0.148238424877204,"cordon-bleu WH2 repeat","blue"
"94","ENSMUSG00000020219","Alistipes",0.73,0.91,0.119890775058561,"translocase of inner mitochondrial membrane 13","turquoise"
"95","ENSMUSG00000020340","Bacteroides",0.82,0.81,0.117566089925115,"cytoplasmic FMR1 interacting protein 2","green"
"96","ENSMUSG00000020340","[Eubacterium]",0.84,0.81,0.101815678538502,"cytoplasmic FMR1 interacting protein 2","green"
"97","ENSMUSG00000020389","Alistipes",0.71,0.83,-0.178815832970543,"cyclin-dependent kinase-like 3","blue"
"98","ENSMUSG00000020427","Anaerotruncus",0.78,0.97,0.098672133426014,"insulin-like growth factor binding protein 3","blue"
"99","ENSMUSG00000020440","[Eubacterium]",0.7,0.91,-0.0706263939447687,"ADP-ribosylation factor 5","turquoise"
"100","ENSMUSG00000020475","Alistipes",0.71,0.91,-0.0945579440002537,"phosphoglycerate mutase 2","turquoise"
"101","ENSMUSG00000020475","Ruminococcus",0.74,0.87,0.102927078433168,"phosphoglycerate mutase 2","turquoise"
"102","ENSMUSG00000020475","[Ruminococcus]",0.79,0.89,0.0552081224588812,"phosphoglycerate mutase 2","turquoise"
"103","ENSMUSG00000020649","Anaerotruncus",1,1,-0.128652210099294,"ribonucleotide reductase M2","red"
"104","ENSMUSG00000020657","Anaerotruncus",0.71,0.92,-0.0852469081554774,"DnaJ heat shock protein family (Hsp40) member C27","magenta"
"105","ENSMUSG00000020657","[Ruminococcus]",0.78,0.8,0.054246832561624,"DnaJ heat shock protein family (Hsp40) member C27","magenta"
"106","ENSMUSG00000020681","Alistipes",0.71,0.86,-0.151191870941308,"angiotensin I converting enzyme (peptidyl-dipeptidase A) 1","brown"
"107","ENSMUSG00000020722","f.Rikenellaceae",0.84,0.89,0.0918867108439065,"calcium channel, voltage-dependent, gamma subunit 1","red"
"108","ENSMUSG00000020766","Alistipes",0.84,0.94,0.151561677340139,"galactokinase 1","turquoise"
"109","ENSMUSG00000020766","Anaerofustis",0.7,0.89,0.119317378698103,"galactokinase 1","turquoise"
"110","ENSMUSG00000020766","[Eubacterium]",0.84,0.87,-0.0654465058016166,"galactokinase 1","turquoise"
"111","ENSMUSG00000020838","Butyricimonas",0.78,0.95,0.131489771060849,"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4","cyan"
"112","ENSMUSG00000020839","Anaerotruncus",0.95,0.95,0.150390308723482,"transmembrane and immunoglobulin domain containing 1","brown"
"113","ENSMUSG00000020846","f.Rikenellaceae",0.81,0.88,0.0824888781710386,"refilin B","pink"
"114","ENSMUSG00000020846","[Eubacterium]",0.92,0.87,-0.109642007193043,"refilin B","pink"
"115","ENSMUSG00000020846","Ruminococcus",0.71,0.84,0.138183065275255,"refilin B","pink"
"116","ENSMUSG00000020877","Alistipes",0.75,0.91,0.144619710378664,"secernin 2","turquoise"
"117","ENSMUSG00000020895","f.Christensenellaceae",0.87,0.92,0.19671682716593,"transmembrane protein 107","turquoise"
"118","ENSMUSG00000020895","Ruminococcus",0.7,0.84,-0.112471723220029,"transmembrane protein 107","turquoise"
"119","ENSMUSG00000020914","f.Rikenellaceae",0.96,0.98,-0.119088587933721,"topoisomerase (DNA) II alpha","green"
"120","ENSMUSG00000020914","Anaerotruncus",0.75,0.86,0.0536156444038295,"topoisomerase (DNA) II alpha","green"
"121","ENSMUSG00000020932","Anaerotruncus",0.76,0.89,-0.0778910566585161,"glial fibrillary acidic protein","turquoise"
"122","ENSMUSG00000020941","Anaerotruncus",0.8,0.93,-0.0736672986155358,"mitogen-activated protein kinase kinase kinase 14","turquoise"
"123","ENSMUSG00000020974","Anaerotruncus",0.72,0.99,-0.10261678594941,"polymerase (DNA directed), epsilon 2 (p59 subunit)","blue"
"124","ENSMUSG00000020990","Anaerotruncus",0.74,0.93,0.0499470600731953,"cyclin-dependent kinase-like 1 (CDC2-related kinase)","tan"
"125","ENSMUSG00000021061","Butyricimonas",0.71,0.82,-0.134377661000829,"spectrin beta, erythrocytic","turquoise"
"126","ENSMUSG00000021061","rc4-4",0.82,0.84,0.0632817772444509,"spectrin beta, erythrocytic","turquoise"
"127","ENSMUSG00000021061","f.Erysipelotrichaceae",0.77,0.86,0.0935894508410617,"spectrin beta, erythrocytic","turquoise"
"128","ENSMUSG00000021294","[Eubacterium]",0.85,0.86,-0.102912704674712,"kinesin family member 26A","turquoise"
"129","ENSMUSG00000021306","Escherichia",0.72,0.87,0.0916584520125742,"G protein-coupled receptor 137B","blue"
"130","ENSMUSG00000021367","Anaerotruncus",0.73,0.93,0.0583687553217082,"endothelin 1","pink"
"131","ENSMUSG00000021567","Butyricimonas",0.7,0.82,-0.0900997314247783,"naked cuticle 2","blue"
"132","ENSMUSG00000021569","f.Rikenellaceae",0.83,0.91,-0.0989218528759513,"thyroid hormone receptor interactor 13","blue"
"133","ENSMUSG00000021611","Anaerotruncus",0.75,0.93,0.0676233967285595,"telomerase reverse transcriptase","yellow"
"134","ENSMUSG00000021670","Anaerotruncus",0.76,0.92,-0.075117010454756,"3-hydroxy-3-methylglutaryl-Coenzyme A reductase","brown"
"135","ENSMUSG00000021760","Anaerotruncus",0.71,0.96,-0.0951088818215717,"glutathione peroxidase 8 (putative)","pink"
"136","ENSMUSG00000021804","Anaerotruncus",0.81,0.96,0.106492874554374,"retinal G protein coupled receptor","black"
"137","ENSMUSG00000021850","f.Christensenellaceae",0.72,0.85,-0.12850241943721,"coiled-coil domain containing 198","pink"
"138","ENSMUSG00000021866","[Eubacterium]",0.73,0.91,-0.0546140305527539,"annexin A11","turquoise"
"139","ENSMUSG00000021904","Dorea",0.73,0.94,-0.136358961269478,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G","green"
"140","ENSMUSG00000021994","Alistipes",0.72,0.85,-0.173138562574339,"wingless-type MMTV integration site family, member 5A","purple"
"141","ENSMUSG00000022039","Anaerotruncus",0.83,0.95,0.114741085500341,"a disintegrin and metallopeptidase domain 2","yellow"
"142","ENSMUSG00000022041","Anaerotruncus",0.75,0.87,0.0638918947127557,"cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)","cyan"
"143","ENSMUSG00000022351","f.Rikenellaceae",0.72,0.77,0.0464204798093089,"squalene epoxidase","blue"
"144","ENSMUSG00000022351","Anaerotruncus",0.96,1,-0.159357683822335,"squalene epoxidase","blue"
"145","ENSMUSG00000022408","rc4-4",0.76,0.82,-0.0477205972889647,"family with sequence similarity 83, member F","yellow"
"146","ENSMUSG00000022408","Lactococcus",0.7,0.8,0.177673289156575,"family with sequence similarity 83, member F","yellow"
"147","ENSMUSG00000022500","Anaerotruncus",0.8,0.98,-0.119281047783472,"LPS-induced TN factor","magenta"
"148","ENSMUSG00000022568","[Eubacterium]",0.77,0.84,-0.0684401509190717,"scribbled planar cell polarity","turquoise"
"149","ENSMUSG00000022615","f.Christensenellaceae",0.77,0.94,0.0980936940365452,"thymidine phosphorylase","turquoise"
"150","ENSMUSG00000022747","f.Rikenellaceae",0.72,0.84,0.090045718882209,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6","pink"
"151","ENSMUSG00000022762","Anaerotruncus",0.82,0.94,0.122662876216826,"neural cell adhesion molecule 2","tan"
"152","ENSMUSG00000022797","f.Rikenellaceae",0.74,0.85,0.0562791790339731,"transferrin receptor","red"
"153","ENSMUSG00000022883","rc4-4",0.71,0.8,-0.0403603272325901,"roundabout guidance receptor 1","brown"
"154","ENSMUSG00000023034","Anaerotruncus",0.73,0.91,-0.0722871966720181,"nuclear receptor subfamily 4, group A, member 1","turquoise"
"155","ENSMUSG00000023047","Anaerotruncus",0.8,0.94,0.0726571116505952,"anti-Mullerian hormone type 2 receptor","turquoise"
"156","ENSMUSG00000023052","f.Rikenellaceae",0.91,0.95,-0.0884065249272494,"neuropeptide FF-amide peptide precursor","yellow"
"157","ENSMUSG00000023052","Dorea",0.74,0.87,0.0801278244759056,"neuropeptide FF-amide peptide precursor","yellow"
"158","ENSMUSG00000023057","Dorea",0.77,0.68,0.077143192027748,"fatty acid binding protein 2, intestinal","blue"
"159","ENSMUSG00000023132","[Eubacterium]",0.76,0.92,0.0925920727692893,"granzyme A","salmon"
"160","ENSMUSG00000023353","Butyricimonas",0.71,0.83,-0.0892747670450159,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3","turquoise"
"161","ENSMUSG00000023353","Alistipes",0.75,0.89,0.139371570972115,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3","turquoise"
"162","ENSMUSG00000023353","Anaerofustis",0.7,0.91,0.114804883014892,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3","turquoise"
"163","ENSMUSG00000023353","[Eubacterium]",0.87,0.91,-0.095312198479087,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3","turquoise"
"164","ENSMUSG00000023795","Anaerotruncus",0.7,0.93,0.0675090725879398,NA,"turquoise"
"165","ENSMUSG00000023805","f.Rikenellaceae",0.77,0.92,0.0988729260898375,"synaptojanin 2","brown"
"166","ENSMUSG00000023827","f.Rikenellaceae",0.76,0.89,0.0725708947592023,"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)","pink"
"167","ENSMUSG00000023832","Anaerotruncus",0.73,0.92,-0.0719370091498248,"acetyl-Coenzyme A acetyltransferase 2","brown"
"168","ENSMUSG00000023905","Anaerotruncus",0.77,0.92,-0.0814996732933627,"tumor necrosis factor receptor superfamily, member 12a","tan"
"169","ENSMUSG00000023906","Anaerotruncus",0.75,0.94,-0.077310350245951,"claudin 6","brown"
"170","ENSMUSG00000023927","Dorea",0.72,0.7,0.116373322689903,"special AT-rich sequence binding protein 1","blue"
"171","ENSMUSG00000023938","Alistipes",0.71,0.91,0.128463692686275,"alanyl-tRNA synthetase 2, mitochondrial","turquoise"
"172","ENSMUSG00000023939","Alistipes",0.75,0.91,0.144744907493329,"mitochondrial ribosomal protein L14","turquoise"
"173","ENSMUSG00000023990","Butyricimonas",0.73,0.89,-0.135168996999393,"transcription factor EB","turquoise"
"174","ENSMUSG00000023990","Alistipes",0.86,0.93,0.186408910953769,"transcription factor EB","turquoise"
"175","ENSMUSG00000023990","Anaerofustis",0.72,0.86,0.100871005166379,"transcription factor EB","turquoise"
"176","ENSMUSG00000023990","[Eubacterium]",0.9,0.91,-0.115872661060815,"transcription factor EB","turquoise"
"177","ENSMUSG00000024029","f.Christensenellaceae",0.79,0.92,-0.129237366592275,"trefoil factor 3, intestinal","blue"
"178","ENSMUSG00000024042","f.Lachnospiraceae",0.73,0.92,0.229932280529813,"salt inducible kinase 1","turquoise"
"179","ENSMUSG00000024043","Parabacteroides",0.79,0.72,-0.165348802499171,"Rho GTPase activating protein 28","purple"
"180","ENSMUSG00000024043","Anaerofustis",0.86,0.92,0.23610183050968,"Rho GTPase activating protein 28","purple"
"181","ENSMUSG00000024043","Ruminococcus",0.76,0.94,0.162119203488343,"Rho GTPase activating protein 28","purple"
"182","ENSMUSG00000024053","Anaerotruncus",0.79,0.98,-0.0879761754528489,"elastin microfibril interfacer 2","blue"
"183","ENSMUSG00000024208","Alistipes",0.7,0.85,0.104615217226316,"ubiquinol-cytochrome c reductase complex assembly factor 2","turquoise"
"184","ENSMUSG00000024211","Anaerotruncus",0.82,0.93,0.0704790942560081,"glutamate receptor, metabotropic 8","brown"
"185","ENSMUSG00000024245","f.Rikenellaceae",0.79,0.9,0.124684089808123,"transmembrane protein 178","blue"
"186","ENSMUSG00000024313","Alistipes",0.84,0.96,-0.256720751065513,"meprin 1 beta","blue"
"187","ENSMUSG00000024313","[Eubacterium]",0.71,0.75,0.0867740744141939,"meprin 1 beta","blue"
"188","ENSMUSG00000024313","Anaerotruncus",0.85,0.91,0.0975126750577126,"meprin 1 beta","blue"
"189","ENSMUSG00000024327","f.Rikenellaceae",0.74,0.85,0.0758229642276636,"solute carrier family 39 (zinc transporter), member 7","magenta"
"190","ENSMUSG00000024397","Anaerofustis",0.7,0.9,-0.0995072734101452,"allograft inflammatory factor 1","green"
"191","ENSMUSG00000024411","f.Christensenellaceae",0.73,0.95,0.123613620229186,"aquaporin 4","blue"
"192","ENSMUSG00000024420","f.Christensenellaceae",0.73,0.88,-0.1263134124573,"zinc finger protein 521","pink"
"193","ENSMUSG00000024421","Anaerotruncus",0.97,0.96,0.138055193757545,"laminin, alpha 3","brown"
"194","ENSMUSG00000024427","f.Rikenellaceae",0.76,0.91,0.0661663001326309,"sprouty RTK signaling antagonist 4","blue"
"195","ENSMUSG00000024486","Anaerotruncus",0.78,0.86,-0.0771210365851389,"heparin-binding EGF-like growth factor","turquoise"
"196","ENSMUSG00000024533","[Eubacterium]",0.74,0.87,0.106131956552927,"spire type actin nucleation factor 1","yellow"
"197","ENSMUSG00000024579","Anaerofustis",0.75,0.89,0.200269364379079,"prenylcysteine oxidase 1 like","turquoise"
"198","ENSMUSG00000024579","Anaerotruncus",0.71,0.95,-0.0848172513594059,"prenylcysteine oxidase 1 like","turquoise"
"199","ENSMUSG00000024791","Anaerotruncus",0.73,0.89,0.0431310027346322,"cell division cycle associated 5","brown"
"200","ENSMUSG00000024799","Anaerotruncus",0.82,0.9,-0.056049658990151,"transmembrane 7 superfamily member 2","turquoise"
"201","ENSMUSG00000024899","Dorea",0.78,0.78,0.0912271973505174,"3'-phosphoadenosine 5'-phosphosulfate synthase 2","blue"
"202","ENSMUSG00000024924","f.Christensenellaceae",0.77,0.87,0.0752788325075245,"very low density lipoprotein receptor","blue"
"203","ENSMUSG00000024925","Alistipes",0.74,0.88,0.135234156421072,"ribonuclease H2, subunit C","turquoise"
"204","ENSMUSG00000024955","[Eubacterium]",0.81,0.89,-0.0740457375929787,"estrogen related receptor, alpha","turquoise"
"205","ENSMUSG00000024962","Anaerofustis",0.7,0.94,0.155064733083596,"vascular endothelial growth factor B","turquoise"
"206","ENSMUSG00000024962","Dorea",0.72,0.78,0.0789212303930073,"vascular endothelial growth factor B","turquoise"
"207","ENSMUSG00000025004","rc4-4",0.76,0.83,0.0648691955751816,"cytochrome P450, family 2, subfamily c, polypeptide 40","brown"
"208","ENSMUSG00000025008","Paraprevotella",0.78,0.94,-0.137769491141222,"tectonic family member 3","brown"
"209","ENSMUSG00000025008","Alistipes",0.7,0.88,-0.120467154660892,"tectonic family member 3","brown"
"210","ENSMUSG00000025020","Butyricimonas",0.71,0.85,-0.150831436735646,"slit guidance ligand 1","green"
"211","ENSMUSG00000025153","f.Rikenellaceae",0.84,0.83,0.0569770239391987,"fatty acid synthase","brown"
"212","ENSMUSG00000025153","Anaerotruncus",0.94,0.97,-0.140685091580594,"fatty acid synthase","brown"
"213","ENSMUSG00000025171","Alistipes",0.7,0.86,0.108311389825706,"ubiquitin domain containing 1","turquoise"
"214","ENSMUSG00000025323","Anaerotruncus",0.84,0.98,0.106299795359752,"trans-acting transcription factor 4","yellow"
"215","ENSMUSG00000025396","Anaerotruncus",0.93,0.99,0.157348180530852,"hydroxysteroid (17-beta) dehydrogenase 6","blue"
"216","ENSMUSG00000025473","Anaerotruncus",0.71,0.95,-0.114937832096331,"a disintegrin and metallopeptidase domain 8","blue"
"217","ENSMUSG00000025508","Alistipes",0.74,0.91,0.160794220403783,"ribosomal protein, large P2","turquoise"
"218","ENSMUSG00000025574","Anaerotruncus",0.8,0.97,0.0777279374924788,"thymidine kinase 1","blue"
"219","ENSMUSG00000025588","Dorea",0.79,0.83,0.105963639211303,"N-acetyl transferase 1","blue"
"220","ENSMUSG00000026009","Butyricimonas",0.71,0.82,-0.0685406058371809,"inducible T cell co-stimulator","green"
"221","ENSMUSG00000026068","Dorea",0.82,0.75,0.0942679444006598,"interleukin 18 receptor accessory protein","salmon"
"222","ENSMUSG00000026077","Alistipes",0.79,0.92,-0.144017846521669,"neuronal PAS domain protein 2","magenta"
"223","ENSMUSG00000026204","Anaerotruncus",0.84,0.9,-0.100148985623736,"protein tyrosine phosphatase, receptor type, N","turquoise"
"224","ENSMUSG00000026255","Dorea",0.7,0.76,0.11319894267591,"EF hand domain containing 1","magenta"
"225","ENSMUSG00000026347","Anaerotruncus",0.82,0.99,0.15555853829395,"transmembrane protein 163","blue"
"226","ENSMUSG00000026355","[Eubacterium]",0.71,0.76,0.0747015106048272,"minichromosome maintenance complex component 6","blue"
