"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"a95c69e93b36c03971e1649191165142","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","g.Bacteroides"
"8343cf4c26bb977e05e4d9c5125441ef","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","distasonis"
"8795c5a86013864dc11f24b89e8cdd8c","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","f.Rikenellaceae","f.Rikenellaceae"
"5c32fb63928c658fd75ec55e0911f919","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas","g.Butyricimonas"
"7eac17dba253d45b7426ebc866487e31","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"6326f3883ecfa02452ebaa3af9c5d84c","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"605cc047d6200f294e043f8ce6cb5af7","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]","f.[Barnesiellaceae]","f.[Barnesiellaceae]"
"4102c0c9284b080a36ae312a7b497915","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","g.Desulfovibrio"
"773d5b8dad00664fae14be58062596b7","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"5149bdbf03de13bb38557d48d5141b87","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"582a3efc9340062391d511f309dbb35b","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"58bd181f757283f5a4ceebdf90ff6243","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","g.[Ruminococcus]"
"a663a01aeb4dbb88bbe0a9840e8f64dc","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","f.Erysipelotrichaceae","f.Erysipelotrichaceae"
"2e4f2b53b856c4def6d021d01f5abb70","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"b5e0a6477e69e223d49eedc2c7c1b138","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","dolichum"
"de68af3f62b2b04e42f894e18839bb57","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","f.Erysipelotrichaceae","f.Erysipelotrichaceae"
"6b5c5532185593c41966b2173ea9df1c","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"f98dab4619ff896a9cee45a9b9ddc792","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"c84d13308b8608a006759b82fcb5e4ac","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"70745fa69950bfb64db28e3afff2b1e5","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","g.Coprococcus"
"04ca162b3dd2dc7f483ab3503bc605c3","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","dolichum"
"436a815753554d70443fef90dc861710","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","obeum"
"5e3856a6c2426a4e3a75e77a223333e5","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","f.Coriobacteriaceae","f.Coriobacteriaceae"
"a01206f0b17de33744bdac813c3c6eca","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","g.Desulfovibrio"
"ad139328ba8ac39c2e5ccef543df2deb","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"547ed9d63f007845c48db64ef3e5aab6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","caccae"
"bed671b4676144142cebd192b690f499","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"0545208475631581b404f77c00d5b7f9","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas","g.Butyricimonas"
"fbd47bcedad25f5e19bae8d82a8ccc45","Bacteria","Firmicutes","Clostridia","Clostridiales","o.Clostridiales","o.Clostridiales","o.Clostridiales"
"da1d26d90a7443d34675778207d2c227","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"4533bf5ce3fb980fcb1a62e29b3b304b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas","g.Butyricimonas"
"37016b5da4cd8bc8dfed10d3ece1e01d","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella","g.Sutterella"
"bc6a59a66d65219dc321649375b9be2e","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","g.[Eubacterium]"
"8646bffa210e3f061cc57f1b1cf2f751","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium","hathewayi"
"675c847bccbc53942ebb7b8cbb4efc4d","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"e1f30b1b47f80404147cdeb7df90687b","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","f.Coriobacteriaceae","f.Coriobacteriaceae"
"10d22a5b7973f88cbd71cac79cb7b92b","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"859576da50cf3142bbd269f87b2545c1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"cc310148d41118668670367fc570ab7b","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"f8d0d5caceea62f4be2477d29163f163","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"0f7b183901acd60418685b4fe37472c7","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella","g.Christensenella"
"8d5153b41e59c5ffb5a1fc080eb784cf","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"35cbb315e019e0a8768d4b73862df415","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","aerofaciens"
"ee6f1ad3007b7380824da57876e6c8c3","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"8538d07b8c1e8676f9b9c8c242aab14a","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"5edad5fe169fa3d414d60cf1f00af012","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","PSB-M-3","g.PSB-M-3"
"a730ef0685ea600be854be1842a6b362","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Odoribacter","g.Odoribacter"
"32c99ead10486b0b4c3cfc79c646c7e7","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"0a68ec564e278b0246c920ad7de41880","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"4fba6fef450158c1bd1cbcb5a0e8f5e5","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"506efac48dc5d5be2c0122c381639a3f","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","f.Rikenellaceae","f.Rikenellaceae"
"51ea85f428a5daaaf348c94671af386e","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus","g.Coprobacillus"
"26fd47ccdf6e43b0ced99c820140b86c","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Odoribacter","g.Odoribacter"
"149465e40c1bdbc6230588a58a4d6eb0","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"bd5ef8f372e09bcf6ec35825be4f053c","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","g.Dorea"
"ab91da3196edced9017dcd7faab68cfd","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"d900eb33f6b4bc449aab64df16ae18b2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","g.Bacteroides"
"c48070f3061b086b60ff32f77e0002fa","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"55e8fd9e2a3868ef69575fcb459fc7c5","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"6e57b32b545e72b802822e1554c70868","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"654bd3a0f2b6e57d15a2b223ea328d43","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"7a3090aa682623800304aca0da51c22c","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","dolichum"
"c24e0e391aa836b5eae25567c7eb89ee","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"794c48d1c110499dbd6338457f2ed417","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"b8041ad15220306186360a69682fdd33","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"2d591aa40f28f8952d22863270016317","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"2489471b3729e885a2c1ddaa10774d8e","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"0b23a9d70f3b82bf32e37faebf175975","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","dolichum"
"3f9afe17105dd0c33bf41ce08824f362","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"efa231614a5eb97a385a5cae7b440348","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","indistinctus"
"d6aca1ce3a8896b5a4ac550a4108ddd9","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"f005c8c557afa9e8ed92a77753fc6770","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","g.[Ruminococcus]"
"e34528ad14c087b5097669c01925644b","Bacteria","Firmicutes","Clostridia","Clostridiales","o.Clostridiales","o.Clostridiales","o.Clostridiales"
"18765e2fa0cb8e8ca820d746a3a4f12b","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"c54ecd701d322d197b9000b235740969","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"452e8489334d0ba0cf7eeccea28f1364","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","g.[Ruminococcus]"
"f4cc6e4932f507b33d1335d801f54563","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","formicigenerans"
"671f56cb9e843dbbacd5e8646ae48b4a","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","g.Collinsella"
"fa3d2114cfb8f1e6185bb490a3548733","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","Paraprevotella","g.Paraprevotella"
"629f41c0de31ba20f5d2b3f4c69e09c1","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Eggerthella","lenta"
"6f980c6f3f2ffefd2013c721461cc1c6","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Holdemania","g.Holdemania"
"65990c74559e4adfaa672a884ad7d464","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","catus"
"d11290f5a8d806b455f66a2c7ca1cad1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"24cccadb274fef1f88113e8f019e2a63","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","f.[Mogibacteriaceae]","f.[Mogibacteriaceae]"
"8be9dac75adfd36649c004c8b72de91d","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","g.Bacteroides"
"6afbda63b0750231cd586b402d745cd8","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"2c3ed27dcaae74227ccb28577447f3f4","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"d56fd4c21346f6d694c7e638f6bdcb70","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"504efe2f63f610a0f92e8cd040e2f916","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"64171591970510b1ec87e97b71b6c1a5","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"d515ae0a0b58aa13869a5966a80c98a9","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"d2c11050eefbc04d86fe53803f311827","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"9b6acfb0708fe91f75081d6801659932","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","f.[Mogibacteriaceae]","f.[Mogibacteriaceae]"
"6d2f0a10e36d7589233162bd8770c228","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Adlercreutzia","g.Adlercreutzia"
"33deb57a51743c338407d5c7e9b6f5fd","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","SMB53","g.SMB53"
"8ca0b9917d926bb6241ce6e23673fce4","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"945184b6386c192c0066e0a98a154780","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","f.Enterobacteriaceae","f.Enterobacteriaceae"
"889f033ba9c5bb9a721a2c7c84816ca6","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","f.[Mogibacteriaceae]","f.[Mogibacteriaceae]"
"805c0959b90cd47bb52d9f6571c5fb6a","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"6ba98911efd5b1fa1cbba9f869562cce","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus","g.Cloacibacillus"
"1a7a9d14747af9f14fcdabdef2549a77","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"69a11f927915e2a3ba1f7b9c84486527","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella","g.Sutterella"
